,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,Berekua,DM,86.0,few clouds,15.23,-61.32,CarRod's Cottages
409,Mogadishu,SO,78.57,light rain,2.04,45.34,Hotel Juba
410,Komsomolskiy,UZ,77.0,few clouds,40.43,71.72,Ikathouse
415,Witu,KE,77.0,clear sky,-2.39,40.44,
417,Novo Aripuana,BR,80.26,scattered clouds,-5.12,-60.38,Hotel Ypê
418,Samana,DO,77.0,broken clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
419,Pangai,TO,80.6,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
432,Mangrol,IN,84.92,broken clouds,21.12,70.12,Hotel The Royal Honours
434,Ban Phai,TH,78.8,overcast clouds,16.06,102.73,Inpawa Hotel
445,Auki,SB,84.4,broken clouds,-8.77,160.7,Auki Motel
447,Mana,GF,77.97,light rain,5.66,-53.78,LE SAMANA
448,Barra Patuca,HN,83.59,clear sky,15.8,-84.28,
457,Nador,MA,77.0,clear sky,35.17,-2.93,Hôtel La Giralda
466,Aracaju,BR,75.2,few clouds,-10.91,-37.07,HOTEL FÊNIX
471,Nouakchott,MR,78.8,scattered clouds,18.09,-15.98,Hôtel Iman
473,Shimoda,JP,77.0,broken clouds,34.67,138.95,Shimoda Tokyu Hotel
480,Dinga,PK,82.4,smoke,32.64,73.72,Khan Tariq Hotel
481,Huautla,MX,83.32,light rain,21.03,-98.28,Hotel Huautla
487,Sur,OM,84.27,clear sky,22.57,59.53,Sur Plaza Hotel
488,Kushima,JP,78.8,broken clouds,31.46,131.23,Hanaoka
491,Saint-Louis,SN,89.6,clear sky,16.33,-15.0,
493,Damaturu,NG,84.4,overcast clouds,11.75,11.96,Summit Conference Centre
495,Xiaolingwei,CN,84.99,light rain,32.03,118.85,Jiangsu Phoenix Place Hotel
497,Amahai,ID,78.21,light rain,-3.33,128.92,Hotel isabella
498,Cayenne,GF,80.6,broken clouds,4.93,-52.33,Hôtel Le Dronmi
500,Davila,PH,77.0,broken clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
503,San Cristobal,VE,87.8,scattered clouds,7.77,-72.22,Pirineos
504,San Patricio,MX,82.4,moderate rain,19.22,-104.7,Hotel Cabo Blanco
510,Ewa Beach,US,87.8,scattered clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
514,Popondetta,PG,82.35,few clouds,-8.75,148.25,Timos Transit House
518,Aswan,EG,83.25,clear sky,24.09,32.91,Nuba Nile
521,Praya,CV,77.0,broken clouds,14.92,-23.51,LT Aparthotel
522,College Station,US,82.4,broken clouds,30.63,-96.33,Homewood Suites by Hilton College Station
524,Tarboro,US,87.8,clear sky,35.9,-77.54,SureStay Plus Hotel Tarboro by Best Western
525,Tautira,PF,82.4,few clouds,-17.73,-149.15,Pension Oaoa
527,Oriximina,BR,78.19,light rain,-1.77,-55.87,Pousada Tia Amélia
532,Salinas,US,78.01,clear sky,36.68,-121.66,Good Nite Inn Salinas Monterey
533,Ludhiana,IN,89.87,scattered clouds,30.9,75.85,Park Plaza Ludhiana
540,Dryden,CA,77.0,few clouds,49.78,-92.75,Holiday Inn Express Dryden
541,Amaraji,BR,77.0,scattered clouds,-8.38,-35.45,Monsieur
542,Buraydah,SA,84.2,clear sky,26.33,43.98,Mövenpick Hotel Qassim
543,Iracoubo,GF,78.75,overcast clouds,5.48,-53.2,
545,Sola,VU,82.4,broken clouds,-13.88,167.55,Leumerus Bungalows
546,Nicoya,CR,87.8,broken clouds,10.15,-85.45,Guayacan Real
548,Conceicao Do Araguaia,BR,76.84,broken clouds,-8.26,-49.26,Tarumã Tropical Hotel
549,Olinda,BR,77.0,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
