City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
203,Rock Sound,BS,2020-06-24 22:14:38,24.9,-76.2,83.17,75,17,7.25
204,Bengkulu,ID,2020-06-24 22:14:13,-3.8,102.27,77.0,69,100,2.98
205,Rodos,GR,2020-06-24 22:19:27,36.44,28.22,75.0,83,20,11.41
206,Moscow,RU,2020-06-24 22:20:46,55.75,37.62,60.8,54,0,4.47
207,Zhigansk,RU,2020-06-24 22:15:33,66.77,123.37,67.86,56,31,11.14
208,Mucuri,BR,2020-06-24 22:22:51,-18.09,-39.55,72.39,76,27,7.16
209,Fortuna,US,2020-06-24 22:14:06,40.6,-124.16,66.0,82,1,14.99
210,Beringovskiy,RU,2020-06-24 22:22:51,63.05,179.32,41.2,92,100,9.1
211,Tucuman,AR,2020-06-24 22:21:55,-26.82,-65.22,55.4,93,90,3.8
212,Constantine,DZ,2020-06-24 22:18:11,36.37,6.61,75.2,44,0,3.36
213,Viransehir,TR,2020-06-24 22:22:52,37.24,39.76,76.73,36,0,7.99
214,Pauini,BR,2020-06-24 22:22:35,-7.71,-66.98,77.72,93,88,1.36
215,Churapcha,RU,2020-06-24 22:22:52,62.0,132.43,67.96,51,0,6.31
216,Kholm,RU,2020-06-24 22:22:52,59.27,32.85,60.26,70,36,4.81
217,Pemba,MZ,2020-06-24 22:13:49,-12.97,40.52,75.2,78,20,17.22
218,Lusambo,CD,2020-06-24 22:22:52,-4.97,23.45,74.79,44,48,1.7
219,Laguna,US,2020-06-24 22:13:46,38.42,-121.42,96.01,30,1,4.7
220,Maumere,ID,2020-06-24 22:22:52,-8.62,122.21,77.13,81,85,5.97
221,Hobyo,SO,2020-06-24 22:14:22,5.35,48.53,79.63,72,0,24.49
222,Nemuro,JP,2020-06-24 22:22:52,43.32,145.57,51.06,85,98,6.08
223,Jiuquan,CN,2020-06-24 22:22:53,39.74,98.52,61.07,28,11,1.03
224,Bhakkar,PK,2020-06-24 22:22:53,31.63,71.07,99.57,30,62,17.34
